"TOPOGRAPHY","ICE_BASE","Dist","model_bed"
177.5935,NA,28777.1699325618,-141.7348685
175.3346,NA,28843.7887782812,-136.752881125
175.5538,NA,28910.5135813706,-131.77089375
172.1279,NA,28977.3396427086,-126.788906375
169.2009,NA,29044.2771926512,-121.806919
164.7223,NA,29111.3275785223,-118.680670666667
161.5623,NA,29178.4836664797,-115.554422333333
159.5553,NA,29245.7447173095,-112.428174
161.6503,NA,29313.1079519283,-109.301925666667
160.4788,NA,29380.5685573905,-106.175677333333
162.5399,NA,29448.129450972,-103.049429
168.6476,NA,29515.8081979615,-99.9231806666667
174.3863,NA,29583.5816738988,-96.7969323333333
183.8289,NA,29651.4891800641,-93.670684
195.5428,NA,29719.5034300029,-91.2176673333333
205.89,NA,29787.6322687874,-88.7646506666667
214.0849,NA,29855.8834216185,-86.311634
225.9923,NA,29924.2633906651,-83.8586173333333
233.7173,NA,29992.7629246082,-81.4056006666667
243.9763,NA,30061.3932218639,-78.952584
256.4552,NA,30130.1296682183,-76.4995673333333
267.9489,NA,30198.994793051,-74.0465506666667
278.0753,NA,30267.9592890049,-71.593534
288.3413,NA,30337.0219167961,-70.3338237272727
298.584,NA,30406.1828704673,-69.0741134545455
305.3692,NA,30475.4055654913,-67.8144031818182
313.3548,NA,30544.7066539304,-66.5546929090909
320.2241,NA,30614.0537882295,-65.2949826363636
327.6759,NA,30683.4360167665,-64.0352723636364
334.0635,NA,30752.8616325244,-62.7755620909091
342.0057,NA,30822.3251582162,-61.5158518181818
350.6118,NA,30891.8160435731,-60.2561415454545
351.6648,NA,30961.3377011372,-58.9964312727273
357.1174,NA,31030.8662970793,-57.736721
358.5273,NA,31100.3945027671,-51.20395275
354.1224,NA,31169.895840185,-44.6711845
359.2987,NA,31239.3235884936,-38.13841625
356.4539,NA,31308.6677263616,-31.605648
357.0779,NA,31377.9009750084,-25.07287975
356.5837,NA,31447.0152753251,-18.5401115
360.8565,NA,31516.0503506325,-12.00734325
354.6621,NA,31584.9938978057,-5.474575
360.5935,NA,31653.8897336083,1.04387655555556
349.6754,NA,31722.7551409924,7.56232811111111
354.2175,NA,31791.6216400748,14.0807796666667
346.9,NA,31860.4675792282,20.5992312222222
342.7452,NA,31929.33450835,27.1176827777778
335.1083,NA,31998.1975756885,33.6361343333333
331.5934,NA,32067.0709033876,40.1545858888889
326.7637,NA,32135.9355095172,46.6730374444444
321.1754,NA,32204.8091708235,53.191489
313.9339,NA,32273.7027675644,55.901916
312.7327,NA,32342.6111514774,58.612343
309.7205,NA,32411.5516831071,61.32277
306.9662,NA,32480.5316047474,64.033197
309.5476,NA,32549.5268663553,66.743624
329.4227,NA,32618.5498491985,69.454051
307.9987,NA,32687.5846402195,72.164478
307.8534,-167.7766,32756.617219649,74.874905
316.693,NA,32825.6531167629,77.585332
318.5042,NA,32894.6987689231,80.295759
323.1874,-105.2326,32963.7488986506,83.8608968888889
344.5439,-74.0861,33032.8389673606,87.4260347777778
358.8172,NA,33101.9673047446,90.9911726666667
377.463,10.233,33171.1492093573,94.5563105555556
381.3653,22.2653,33240.4099051453,98.1214484444445
402.3615,NA,33309.7189977131,101.686586333333
412.6096,NA,33379.0877069113,105.251724222222
431.6352,84.7252,33448.4936439819,108.816862111111
453.4307,106.1907,33517.9297116763,112.382
471.2245,NA,33587.395578865,116.098111111111
484.3142,140.2442,33656.8928684479,119.814222222222
500.2728,152.4228,33726.4181317108,123.530333333333
507.5452,NA,33795.9936878927,127.246444444444
527.4469,NA,33865.5968299958,130.962555555556
528.92,165.15,33935.2517235134,134.678666666667
528.792,160.142,34004.9039114483,138.394777777778
544.0604,NA,34074.5681396017,142.110888888889
542.808,148.538,34144.231580778,145.827
546.3015,144.4715,34213.8591121852,145.396222222222
557.2077,NA,34283.4707115116,144.965444444444
555.6185,132.9885,34353.0681531846,144.534666666667
563.6002,133.9502,34422.6795455027,144.103888888889
570.541,NA,34492.2594828237,143.673111111111
582.9463,NA,34561.8570746953,143.242333333333
592.0783,138.1683,34631.435966992,142.811555555556
592.1034,130.9834,34701.015656134,142.380777777778
601.3738,135.0538,34770.5649923067,141.95
616.0851,142.1651,34840.0873547009,130.05156
617.6616,137.6616,34909.60265616,118.15312
611.078,126.798,34979.0793091304,106.25468
619.8064,133.0564,35048.5375707588,94.35624
617.7908,125.1308,35117.9605826582,82.4578
616.8529,119.5029,35187.3630841906,70.55936
614.8865,113.0565,35256.7444001463,58.66092
612.8289,88.1589,35326.093735346,46.76248
609.0378,47.1078,35395.4226530785,34.86404
610.6219,21.2019,35464.7193166201,22.9656
614.7589,27.6689,35534.0042695421,31.0098888888889
614.5801,43.1601000000001,35603.2577979975,39.0541777777778
619.0833,56.2133,35672.5062782794,47.0984666666667
625.5785,75.5185,35741.7267273812,55.1427555555556
632.0621,82.7021,35810.9210057101,63.1870444444444
634.8315,84.7815000000001,35880.1145852109,71.2313333333333
641.3164,90.7464,35949.2905725401,79.2756222222222
648.0752,97.1052,36018.4533069176,87.3199111111111
648.0515,94.9315,36087.6212353729,95.3642
652.3031,95.6831,36156.7966117777,93.6003444444444
659.7023,99.2423,36225.9913152048,91.8364888888889
667.0835,99.2434999999999,36295.1917518271,90.0726333333333
667.9412,95.1812,36364.4059793567,88.3087777777778
675.2887,98.5686999999999,36433.616792652,86.5449222222222
674.9099,93.3699,36502.835784321,84.7810666666667
677.733,88.6529999999999,36572.0301413134,83.0172111111111
684.33,89.0600000000001,36641.213848344,81.2533555555556
689.2649,87.6449,36710.3936749675,79.4895
697.4246,78.3646000000001,36779.5576390151,68.11569
702.9339,70.1839,36848.7072606195,56.74188
709.5367,66.0867,36917.832591521,45.36807
714.2453,60.1553,36986.9326413387,33.99426
718.341,46.751,37056.0110775283,22.62045
714.7835,31.1435,37125.0380877947,11.24664
708.1331,18.8431,37194.0084901722,-0.127169999999992
706.4644,1.13439999999991,37262.9230517022,-11.50098
709.5848,-11.9352,37331.7833600562,-22.87479
712.3825,-32.1574999999999,37400.5896232519,-34.2486
717.5612,-43.6588,37469.3371594409,-46.4928666666667
720.6707,-88.1593,37538.0511730352,-58.7371333333333
720.5801,-93.8899,37606.7256417118,-70.9814
720.3181,-99.1919,37675.3750108216,-83.2256666666667
720.0976,-105.7924,37743.9927439282,-95.4699333333333
719.4076,-121.0524,37812.5770187541,-107.7142
719.6583,-134.1817,37881.1111883797,-119.958466666667
720.9434,-142.1166,37949.6001817862,-132.202733333333
722.7501,-145.7099,38018.0358645043,-144.447
723.1456,-143.1044,38086.3975487309,-130.370855555556
724.6902,-122.0198,38154.7023244159,-116.294711111111
726.8621,-89.0079,38222.9597755181,-102.218566666667
729.0163,-60.7037,38291.1534866802,-88.1424222222222
731.861,-41.4690000000001,38359.3269473379,-74.0662777777778
734.3342,-25.7758,38427.4487003382,-59.9901333333333
736.624,-15.1659999999999,38495.5379160384,-45.9139888888889
739.5995,-11.3304999999999,38563.595409923,-31.8378444444445
741.628,-12.362,38631.634591804,-17.7617
742.9346,-19.2153999999999,38699.6405924742,-16.281181
744.0692,-30.3607999999999,38767.6340980953,-14.800662
745.421,-38.269,38835.6165231689,-13.320143
746.524,-58.7859999999999,38903.5824752546,-11.839624
747.1341,-65.3959,38971.5409099601,-10.359105
747.4395,-60.2405,39039.4902607934,-8.878586
746.8434,-51.0666,39107.4406651466,-7.398067
746.602,-32.528,39175.3993068792,-5.917548
746.607,-16.663,39243.3504257887,-4.437029
746.3032,-3.66680000000008,39311.3167605646,-2.95651
746.3364,4.14639999999997,39379.2757169658,0.345402222222222
746.6638,5.52380000000005,39447.2456602876,3.64731444444444
746.8676,5.79759999999999,39515.2061971175,6.94922666666667
